Sample,Mineral,LuHf,HfHf,err
BH32,Garnet rim,4.577697,0.296074,0.000010
BH32,Garnet core,4.314850,0.296615,0.000007
BH32,Garnet mixed,3.483485,0.293396,0.000009
BH32,Garnet mixed,2.932295,0.291509,0.000011
BH32,Garnet mixed,2.588792,0.290865,0.000007
BH32,Garnet rim,2.457041,0.289923,0.000006
BH32,Whole Rock,0.005983,0.282793,0.000004
BH32,Whole Rock,0.048366,0.282995,0.000004
EA,Garnet core,2.175559,0.289772,0.000009
EA,Garnet rim,2.264771,0.289577,0.000006
EA,Garnet core,2.344745,0.290218,0.000009
EA,Garnet mixed,1.987518,0.289048,0.000007
EA,Garnet mixed,2.120161,0.289368,0.000007
EA,Garnet mixed,2.133159,0.289496,0.000005
EA,Whole Rock,0.011184,0.283064,0.000005
EA,Whole Rock,0.046193,0.282981,0.000006